412,111,61,962,1483,442,79,32,1,1039,646,159,59,15,844,252,71,36,465,387,65,92,468,355,73,207,6,133,36,0,27,578,90,103,306,91,13,119,60,34,157,6,329,3177,138,80,33,76,412,17,20
330,128,17,408,1234,388,85,17,1,1019,433,154,78,15,353,174,19,22,319,344,31,40,323,304,19,126,9,77,16,0,12,282,38,0,253,82,12,48,0,10,84,0,217,3028,57,0,28,37,204,4,9
0,53,50,630,437,246,43,11,0,1224,557,101,36,4,445,0,23,19,263,212,54,140,329,442,28,0,5,202,18,36,11,223,77,0,148,52,28,58,28,8,19,0,162,2152,49,77,17,28,209,3,1
0,29,88,444,608,371,18,13,0,1027,361,171,27,4,106,30,21,9,304,149,0,0,237,297,10,376,4,102,62,34,8,220,30,0,146,55,0,0,37,3,18,7,121,2798,29,163,10,42,99,2,4
0,78,22,273,505,374,12,11,0,1285,194,180,13,5,176,0,49,0,128,175,28,0,177,105,3,173,13,73,32,0,6,213,30,0,174,26,0,44,84,2,86,0,354,1361,62,0,8,49,60,6,5
30,77,0,278,930,295,0,10,0,868,126,123,4,5,0,0,0,6,189,102,39,0,170,62,22,126,12,44,15,0,11,154,27,0,47,34,9,120,38,0,0,7,293,1501,47,0,8,27,17,1,0
49,40,0,83,377,122,0,7,0,607,168,118,0,0,36,0,0,0,120,69,19,0,56,68,0,140,9,46,0,0,5,145,24,0,50,53,0,0,0,0,60,0,142,646,107,0,16,21,32,3,3
65,42,0,69,91,107,0,12,0,479,178,104,3,0,29,0,0,11,28,39,0,0,47,0,1,106,0,0,19,0,4,67,6,0,44,9,0,0,43,0,16,0,58,546,58,40,7,13,21,0,3
61,44,0,58,205,43,0,5,0,543,215,71,0,0,55,0,0,0,135,0,0,0,30,70,3,291,0,0,0,38,5,90,9,0,8,51,7,52,0,1,0,0,0,922,11,0,22,15,46,2,1
74,17,0,87,475,78,0,5,0,539,168,77,6,0,57,0,21,0,69,75,0,0,28,54,0,246,0,0,0,0,4,113,52,0,19,71,0,31,21,0,0,0,0,513,53,117,0,28,34,4,7
64,54,0,109,271,0,0,0,0,636,155,102,0,0,0,0,0,3,0,26,0,0,33,0,0,219,0,0,0,0,0,0,0,0,16,0,0,0,0,0,13,5,0,435,50,0,0,29,0,0,4
56,64,0,29,231,16,0,2,0,505,118,37,0,0,0,0,0,6,41,36,0,0,30,0,0,217,5,0,0,0,4,44,13,0,33,56,0,0,22,0,45,0,0,615,0,40,0,23,16,0,0
74,90,0,0,153,74,0,1,0,642,84,49,5,0,0,0,0,0,0,27,13,0,17,0,1,0,0,0,0,0,0,28,7,0,24,14,7,0,0,0,12,8,0,697,109,34,0,30,7,0,1
82,52,20,0,68,52,0,3,0,621,67,34,9,0,46,0,0,5,162,19,17,0,25,47,0,0,8,0,0,0,2,60,0,0,23,26,0,29,0,0,75,0,0,447,10,0,0,23,11,0,0
0,98,0,0,363,18,0,0,0,480,67,26,6,0,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,0,0,0,7,0,33,6,9,36,0,0,37,0,0,175,0,0,0,23,0,4,2
0,160,0,47,366,96,10,0,0,535,83,16,5,0,39,0,47,0,38,0,0,0,0,0,0,0,0,0,0,0,1,10,9,56,7,8,0,0,21,0,11,0,0,175,42,0,0,5,0,2,6
0,330,0,0,263,24,0,0,0,802,265,6,4,0,0,0,0,0,141,15,0,0,49,47,3,0,0,0,0,0,0,0,0,29,60,13,0,0,0,0,0,0,0,301,18,0,0,8,5,0,2
0,481,0,154,432,133,8,0,0,1406,467,30,0,0,0,0,29,0,255,19,0,0,76,59,3,0,0,0,0,0,0,0,0,44,35,30,0,0,0,0,45,0,0,289,0,0,0,12,0,0,5
0,511,0,85,355,131,12,1,0,1889,198,95,0,0,47,0,0,0,138,83,0,0,163,0,3,0,7,0,0,0,0,21,0,59,57,21,0,0,0,0,26,0,0,579,0,0,0,9,12,1,3
0,381,0,106,230,0,86,4,0,1531,216,44,1,0,133,34,0,18,97,42,22,0,326,32,0,0,0,43,0,0,0,61,13,0,71,32,0,23,23,0,0,0,0,465,28,0,0,15,0,1,7
0,177,25,0,385,28,19,5,0,1670,164,62,0,0,62,0,0,0,163,58,24,22,138,62,9,91,0,37,10,0,0,95,11,51,87,56,0,20,21,1,0,0,0,712,29,0,0,0,13,2,6
0,263,0,0,347,67,14,5,1,1619,268,53,0,10,324,0,29,0,426,26,8,22,62,38,7,56,0,26,7,0,1,76,5,0,87,35,0,19,0,1,0,0,0,897,25,0,0,41,20,0,13
0,168,0,32,487,37,5,1,0,532,404,59,0,0,100,22,0,8,408,16,132,0,36,0,7,75,13,63,7,0,1,45,4,0,30,13,0,38,0,0,0,0,0,1123,70,0,0,67,15,0,40
0,188,71,146,672,192,0,4,1,804,471,30,25,30,320,24,0,0,463,71,39,0,5,24,4,0,0,54,3,0,1,71,0,99,78,15,0,16,0,2,27,0,364,1343,29,0,0,60,24,3,29
